Type of Event,Event Details,Link,Closing Date,Closing Time,Event Start Date,Event End Date
"Gandhi Shilp Bazar National, States, District",GSB (District) at Durgapur UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTM5,2025-09-15,23:45:00,2025-12-23,2025-12-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Rampur UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTQx,2025-09-15,23:45:00,2025-12-25,2025-12-31
"Gandhi Shilp Bazar National, States, District",GSB (State) at Jaisalmer,https://indian.handicrafts.gov.in/en/events/events-apply/NTQz,2025-09-15,23:45:00,2025-12-26,2026-01-04
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mangaluru UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTQy,2025-09-15,23:45:00,2025-12-24,2025-12-30
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agra UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTcy,2025-09-15,23:45:00,2025-11-17,2025-11-23
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shantiniketan UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTMx,2025-09-10,23:45:00,2025-12-15,2025-12-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Guntur UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTM1,2025-09-10,23:45:00,2025-12-19,2025-12-25
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gwalior,https://indian.handicrafts.gov.in/en/events/events-apply/NTI5,2025-09-10,23:45:00,2025-12-12,2025-12-18
"Gandhi Shilp Bazar National, States, District",GSB (District) at Aurangabad,https://indian.handicrafts.gov.in/en/events/events-apply/NTMy,2025-09-10,23:45:00,2025-12-16,2025-12-22
"Gandhi Shilp Bazar National, States, District",GSB (State) at Pune,https://indian.handicrafts.gov.in/en/events/events-apply/NTMz,2025-09-10,23:45:00,2025-12-18,2025-12-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Rajamundry,https://indian.handicrafts.gov.in/en/events/events-apply/NTMw,2025-09-10,23:45:00,2025-12-15,2025-12-21
"Gandhi Shilp Bazar National, States, District",GSB (State) at Cochin,https://indian.handicrafts.gov.in/en/events/events-apply/NTM2,2025-09-10,23:45:00,2025-12-20,2025-12-29
"Gandhi Shilp Bazar National, States, District",GSB (State) at Kolkata,https://indian.handicrafts.gov.in/en/events/events-apply/NTg0,2025-09-10,23:45:00,2025-09-15,2025-09-24
"Gandhi Shilp Bazar National, States, District",GSB (National) at Chennai,https://indian.handicrafts.gov.in/en/events/events-apply/NTM0,2025-09-10,23:45:00,2025-12-19,2025-12-28
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shantiniketan UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTMx,2025-09-10,23:45:00,2025-12-15,2025-12-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhuj UH,https://indian.handicrafts.gov.in/en/events/view/NTIw,2025-09-05,23:45:00,2025-12-01,2025-12-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agra UH,https://indian.handicrafts.gov.in/en/events/view/NTE3,2025-09-05,23:45:00,2025-12-01,2025-12-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Navi Mumbai UH,https://indian.handicrafts.gov.in/en/events/view/NTQ3,2025-09-05,23:45:00,2025-12-06,2025-12-12
"Gandhi Shilp Bazar National, States, District",GSB (State) at Bhilai,https://indian.handicrafts.gov.in/en/events/view/NTY5,2025-09-05,23:45:00,2025-12-05,2025-12-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Hazaribagh UH,https://indian.handicrafts.gov.in/en/events/view/NTIz,2025-09-05,23:45:00,2025-12-10,2025-12-16
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jodhpur UH,https://indian.handicrafts.gov.in/en/events/view/NTIy,2025-09-05,23:45:00,2025-12-04,2025-12-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Imphal UH,https://indian.handicrafts.gov.in/en/events/view/NTI4,2025-09-05,23:45:00,2025-12-08,2025-12-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jaipur UH,https://indian.handicrafts.gov.in/en/events/view/NTIx,2025-09-05,23:45:00,2025-12-03,2025-12-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Konark UH,https://indian.handicrafts.gov.in/en/events/view/NTE5,2025-09-05,23:45:00,2025-12-01,2025-12-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Pudducherry,https://indian.handicrafts.gov.in/en/events/view/NTUy,2025-09-05,23:45:00,2025-12-05,2025-12-11
"Gandhi Shilp Bazar National, States, District",GSB (State) at Ujjain,https://indian.handicrafts.gov.in/en/events/view/NTQ0,2025-09-05,23:45:00,2025-12-05,2025-12-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kohima,https://indian.handicrafts.gov.in/en/events/view/NTI3,2025-09-05,23:45:00,2025-12-02,2025-12-08
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kolhapur,https://indian.handicrafts.gov.in/en/events/view/NTE1,2025-08-31,23:45:00,2025-11-21,2025-11-27
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar,https://indian.handicrafts.gov.in/en/events/view/NTc2,2025-08-31,23:45:00,2025-09-20,2025-09-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Varanasi UH,https://indian.handicrafts.gov.in/en/events/view/NTE4,2025-08-31,23:45:00,2025-10-14,2025-10-20
"Gandhi Shilp Bazar National, States, District",GSB (State) at Nashik,https://indian.handicrafts.gov.in/en/events/view/NTEy,2025-08-31,23:45:00,2025-11-20,2025-11-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Katra,https://indian.handicrafts.gov.in/en/events/view/NTE0,2025-08-31,23:45:00,2025-11-21,2025-11-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Navi Mumbai UH,https://indian.handicrafts.gov.in/en/events/view/NTcw,2025-08-31,23:45:00,2025-11-07,2025-11-13
"Gandhi Shilp Bazar National, States, District",GSB (District) at Indore UH,https://indian.handicrafts.gov.in/en/events/view/NTE2,2025-08-31,23:45:00,2025-11-23,2025-11-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Konark UH,https://indian.handicrafts.gov.in/en/events/view/NTQ4,2025-08-30,23:45:00,2025-11-21,2025-11-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Ajmer UH,https://indian.handicrafts.gov.in/en/events/view/NTA4,2025-08-25,23:45:00,2025-11-12,2025-11-18
"Gandhi Shilp Bazar National, States, District",GSB (State) at Karnal,https://indian.handicrafts.gov.in/en/events/view/NTI2,2025-08-25,23:45:00,2025-11-14,2025-11-23
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gorakhpur,https://indian.handicrafts.gov.in/en/events/view/NTEw,2025-08-25,23:45:00,2025-11-15,2025-11-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jhansi UH,https://indian.handicrafts.gov.in/en/events/view/NTEx,2025-08-25,23:45:00,2025-11-15,2025-11-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Ajmer UH,https://indian.handicrafts.gov.in/en/events/view/NTA4,2025-08-25,23:45:00,2025-11-12,2025-11-18
"Gandhi Shilp Bazar National, States, District",GSB (District) at Janpath,https://indian.handicrafts.gov.in/en/events/view/NTUw,2025-08-25,23:45:00,2025-11-17,2025-11-23
"Gandhi Shilp Bazar National, States, District",GSB (District) at Ahmedabad UH,https://indian.handicrafts.gov.in/en/events/view/NTY4,2025-08-25,11:45:00,2025-11-12,2025-11-18
Dilli Haat,Master Creations 1 - NMC & State Awardee,https://indian.handicrafts.gov.in/en/events/view/NTY2,2025-08-20,23:45:00,2025-10-16,2025-10-31
"Gandhi Shilp Bazar National, States, District",GSB (State) at Srinagar,https://indian.handicrafts.gov.in/en/events/view/NDMx,2025-08-20,23:45:00,2025-10-01,2025-10-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mandi,https://indian.handicrafts.gov.in/en/events/view/NTAx,2025-08-20,23:45:00,2025-11-03,2025-11-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhopal UH,https://indian.handicrafts.gov.in/en/events/view/NTA0,2025-08-20,23:45:00,2025-11-05,2025-11-11
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kakinada UH,https://indian.handicrafts.gov.in/en/events/view/NTAz,2025-08-20,23:45:00,2025-11-03,2025-11-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Cherapunji,https://indian.handicrafts.gov.in/en/events/view/NDk5,2025-08-20,23:45:00,2025-11-01,2025-11-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhuj UH,https://indian.handicrafts.gov.in/en/events/view/NTAw,2025-08-20,23:45:00,2025-11-01,2025-11-07
"Gandhi Shilp Bazar National, States, District",GSB (National) at Varanasi,https://indian.handicrafts.gov.in/en/events/view/NDk3,2025-08-20,23:45:00,2025-11-01,2025-11-10
"Gandhi Shilp Bazar National, States, District",GSB (State) at Kanpur,https://indian.handicrafts.gov.in/en/events/view/NDk2,2025-08-20,23:45:00,2025-11-01,2025-11-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Tirupati UH,https://indian.handicrafts.gov.in/en/events/view/NTAy,2025-08-20,23:45:00,2025-11-03,2025-11-09
"Gandhi Shilp Bazar National, States, District",GSB (National) at Ahmedabad,https://indian.handicrafts.gov.in/en/events/view/NTc1,2025-08-20,23:45:00,2025-09-12,2025-09-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhubaneshwar UH,https://indian.handicrafts.gov.in/en/events/view/NDk4,2025-08-20,23:45:00,2025-11-01,2025-11-07
"Gandhi Shilp Bazar National, States, District",GSB (State) at Prayagraj,https://indian.handicrafts.gov.in/en/events/view/NTA2,2025-08-20,23:45:00,2025-11-08,2025-11-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gaya,https://indian.handicrafts.gov.in/en/events/view/NTA1,2025-08-20,23:45:00,2025-11-07,2025-11-13
"Gandhi Shilp Bazar National, States, District",GSB (State) at Surat,https://indian.handicrafts.gov.in/en/events/view/NTY1,2025-08-20,23:45:00,2025-11-01,2025-11-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jagdalpur,https://indian.handicrafts.gov.in/en/events/view/NTYz,2025-08-15,23:45:00,2025-09-30,2025-10-06
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kokrajhar,https://indian.handicrafts.gov.in/en/events/view/NDkw,2025-08-15,23:45:00,2025-10-19,2025-10-25
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jaipur UH,https://indian.handicrafts.gov.in/en/events/view/NDkx,2025-08-15,23:45:00,2025-10-21,2025-10-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Madgaon,https://indian.handicrafts.gov.in/en/events/view/NDkz,2025-08-15,23:45:00,2025-10-26,2025-11-01
"Gandhi Shilp Bazar National, States, District",GSB (State) at Banglore (Bengaluru),https://indian.handicrafts.gov.in/en/events/view/NTI1,2025-08-15,23:45:00,2025-10-24,2025-11-02
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhopal UH,https://indian.handicrafts.gov.in/en/events/view/NTc0,2025-08-15,23:45:00,2025-09-01,2025-09-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Durg,https://indian.handicrafts.gov.in/en/events/view/NDky,2025-08-15,23:45:00,2025-10-22,2025-10-28
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kolkata UH,https://indian.handicrafts.gov.in/en/events/view/NDg5,2025-08-15,23:45:00,2025-10-17,2025-10-23
"Gandhi Shilp Bazar National, States, District",GSB (State) at Trivendrum,https://indian.handicrafts.gov.in/en/events/view/NDk0,2025-08-15,23:45:00,2025-10-27,2025-11-05
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jammu UH,https://indian.handicrafts.gov.in/en/events/view/NDgx,2025-08-10,23:45:00,2025-10-11,2025-10-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dhanbad,https://indian.handicrafts.gov.in/en/events/view/NDgy,2025-08-10,23:45:00,2025-10-12,2025-10-18
"Gandhi Shilp Bazar National, States, District",GSB (District) at Haldwani,https://indian.handicrafts.gov.in/en/events/view/NDg3,2025-08-10,23:45:00,2025-10-15,2025-10-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agartala UH,https://indian.handicrafts.gov.in/en/events/view/NDgw,2025-08-10,23:45:00,2025-10-11,2025-10-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Imphal,https://indian.handicrafts.gov.in/en/events/view/NDg1,2025-08-10,23:45:00,2025-10-14,2025-10-20
"Gandhi Shilp Bazar National, States, District",GSB (District) at Srinagar UH,https://indian.handicrafts.gov.in/en/events/view/NDg4,2025-08-10,23:45:00,2025-10-15,2025-10-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mathura,https://indian.handicrafts.gov.in/en/events/view/NDg0,2025-08-10,23:45:00,2025-10-13,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mangaluru UH,https://indian.handicrafts.gov.in/en/events/view/NDg2,2025-08-10,23:45:00,2025-10-15,2025-10-21
"Gandhi Shilp Bazar National, States, District",GSB (State) at Vijayawada,https://indian.handicrafts.gov.in/en/events/view/NDc5,2025-08-10,23:45:00,2025-10-10,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (State) at Amritsar,https://indian.handicrafts.gov.in/en/events/view/NDc4,2025-08-10,23:45:00,2025-10-10,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bareilly UH,https://indian.handicrafts.gov.in/en/events/view/NDgz,2025-08-10,23:45:00,2025-10-13,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (National) at Hyderabad,https://indian.handicrafts.gov.in/en/events/view/NDY5,2025-07-31,23:45:00,2025-10-03,2025-10-12
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jodhpur UH,https://indian.handicrafts.gov.in/en/events/view/NDcz,2025-07-31,23:45:00,2025-10-03,2025-10-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Varanasi UH,https://indian.handicrafts.gov.in/en/events/view/NTEz,2025-07-31,23:45:00,2025-10-05,2025-10-11
"Gandhi Shilp Bazar National, States, District",GSB (National) at Lucknow,https://indian.handicrafts.gov.in/en/events/view/NDc3,2025-07-31,23:45:00,2025-10-08,2025-10-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Rajkot,https://indian.handicrafts.gov.in/en/events/view/NDc2,2025-07-31,23:45:00,2025-10-07,2025-10-13
"Gandhi Shilp Bazar National, States, District",GSB (State) at Jabalpur,https://indian.handicrafts.gov.in/en/events/view/NTUx,2025-07-31,23:45:00,2025-09-01,2025-09-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agra,https://indian.handicrafts.gov.in/en/events/view/NDcx,2025-07-31,23:45:00,2025-10-01,2025-10-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Darbhanga,https://indian.handicrafts.gov.in/en/events/view/NDc1,2025-07-31,23:45:00,2025-10-06,2025-10-12
"Gandhi Shilp Bazar National, States, District",GSB (State) at Panaji,https://indian.handicrafts.gov.in/en/events/view/NDcw,2025-07-31,23:45:00,2025-10-03,2025-10-12
"Gandhi Shilp Bazar National, States, District",GSB (District) at Puri UH,https://indian.handicrafts.gov.in/en/events/view/NDcy,2025-07-31,23:45:00,2025-10-03,2025-10-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Tiruvanamalai,https://indian.handicrafts.gov.in/en/events/view/NDc0,2025-07-31,23:45:00,2025-10-03,2025-10-09
"Gandhi Shilp Bazar National, States, District",GSB (State) at Nagpur,https://indian.handicrafts.gov.in/en/events/view/NDk1,2025-07-31,23:45:00,2025-10-04,2025-10-13
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kakinada UH,https://indian.handicrafts.gov.in/en/events/view/NDY3,2025-07-25,23:45:00,2025-09-29,2025-10-05
"Gandhi Shilp Bazar National, States, District",GSB (State) at Ranchi,https://indian.handicrafts.gov.in/en/events/view/NDQx,2025-07-15,23:45:00,2025-09-19,2025-09-28
"Gandhi Shilp Bazar National, States, District",GSB (State) at Ludhiana City,https://indian.handicrafts.gov.in/en/events/view/NDY4,2025-07-15,23:45:00,2025-09-19,2025-09-28
"Gandhi Shilp Bazar National, States, District",GSB (State) at Shillong,https://indian.handicrafts.gov.in/en/events/view/NDI0,2025-07-15,23:45:00,2025-09-15,2025-09-24
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gandhinagar,https://indian.handicrafts.gov.in/en/events/view/NTY0,2025-07-15,23:45:00,2025-07-31,2025-08-06
"Gandhi Shilp Bazar National, States, District",GSB (District) at Karnal UH,https://indian.handicrafts.gov.in/en/events/view/NDI5,2025-07-15,23:45:00,2025-09-20,2025-09-26
"Gandhi Shilp Bazar National, States, District",GSB (District) at Rampur UH,https://indian.handicrafts.gov.in/en/events/view/NDUy,2025-07-15,23:45:00,2025-09-25,2025-10-01
"Gandhi Shilp Bazar National, States, District",GSB (State) at Puducherry,https://indian.handicrafts.gov.in/en/events/view/NDM5,2025-07-10,23:45:00,2025-09-12,2025-09-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Guntur UH,https://indian.handicrafts.gov.in/en/events/view/NDU1,2025-07-10,23:45:00,2025-09-22,2025-09-28
"Gandhi Shilp Bazar National, States, District",GSB (National) at Mysuru UH,https://indian.handicrafts.gov.in/en/events/view/NDQw,2025-07-10,23:45:00,2025-09-12,2025-09-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Howrah,https://indian.handicrafts.gov.in/en/events/view/NDUx,2025-07-10,23:30:00,2025-09-16,2025-09-22
Dilli Haat,Dilli Haat - Artisans Practicing Artistic Textiles Crafts,https://indian.handicrafts.gov.in/en/events/view/NTYy,2025-07-06,23:45:00,2025-08-01,2025-08-15
"Gandhi Shilp Bazar National, States, District",GSB (District) at Muzaffarpur,https://indian.handicrafts.gov.in/en/events/view/NDM4,2025-07-05,23:45:00,2025-09-09,2025-09-15
"Gandhi Shilp Bazar National, States, District",GSB (District) at Durgapur UH,https://indian.handicrafts.gov.in/en/events/view/NDY2,2025-07-05,23:45:00,2025-09-12,2025-09-18
"Gandhi Shilp Bazar National, States, District",GSB (District) at Imphal UH,https://indian.handicrafts.gov.in/en/events/view/NDIz,2025-06-30,23:45:00,2025-09-08,2025-09-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jhansi UH,https://indian.handicrafts.gov.in/en/events/view/NDQ4,2025-06-30,23:45:00,2025-09-08,2025-09-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Vijaywada,https://indian.handicrafts.gov.in/en/events/view/NDU0,2025-06-30,23:45:00,2025-09-08,2025-09-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jorhat,https://indian.handicrafts.gov.in/en/events/view/NDI2,2025-06-30,23:45:00,2025-09-21,2025-09-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agartala UH,https://indian.handicrafts.gov.in/en/events/view/NDYz,2025-06-30,23:45:00,2025-09-02,2025-09-08
"Gandhi Shilp Bazar National, States, District",GSB (State) at Madurai,https://indian.handicrafts.gov.in/en/events/view/NDM2,2025-06-30,23:45:00,2025-09-05,2025-09-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shantiniketan UH,https://indian.handicrafts.gov.in/en/events/view/NDM1,2025-06-30,23:45:00,2025-09-01,2025-09-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Srinagar UH,https://indian.handicrafts.gov.in/en/events/view/NDI4,2025-06-30,23:45:00,2025-08-20,2025-08-26
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dimapur UH,https://indian.handicrafts.gov.in/en/events/view/NDY1,2025-06-30,23:45:00,2025-09-02,2025-09-08
"Gandhi Shilp Bazar National, States, District",GSB (District) at Calicut (Kozhikode),https://indian.handicrafts.gov.in/en/events/view/NDYx,2025-06-30,23:45:00,2025-08-29,2025-09-04
"Gandhi Shilp Bazar National, States, District",GSB (State) at Bhopal UH,https://indian.handicrafts.gov.in/en/events/view/NDY0,2025-06-30,23:45:00,2025-09-02,2025-09-11
"Gandhi Shilp Bazar National, States, District",GSB (District) at Coimbatore,https://indian.handicrafts.gov.in/en/events/view/NDQ3,2025-06-30,23:45:00,2025-09-03,2025-09-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Prayagraj,https://indian.handicrafts.gov.in/en/events/view/NDUw,2025-06-30,23:45:00,2025-09-10,2025-09-16
"Gandhi Shilp Bazar National, States, District",GSB (State) at Patna,https://indian.handicrafts.gov.in/en/events/view/NDM3,2025-06-30,23:45:00,2025-09-05,2025-09-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kanyakumari UH,https://indian.handicrafts.gov.in/en/events/view/NDQ5,2025-06-30,23:45:00,2025-09-08,2025-09-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mamallapuram UH,https://indian.handicrafts.gov.in/en/events/view/NDYw,2025-06-20,23:45:00,2025-08-11,2025-08-17
"Gandhi Shilp Bazar National, States, District",GSB (State) at Noida,https://indian.handicrafts.gov.in/en/events/view/NDM0,2025-06-15,23:45:00,2025-08-01,2025-08-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhatinda,https://indian.handicrafts.gov.in/en/events/view/NDI3,2025-06-15,23:45:00,2025-08-01,2025-08-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Leh,https://indian.handicrafts.gov.in/en/events/view/NDQ2,2025-06-15,23:45:00,2025-08-01,2025-08-07
"Gandhi Shilp Bazar National, States, District",GSB (State) at Chennai,https://indian.handicrafts.gov.in/en/events/view/NDU4,2025-06-15,23:45:00,2025-08-01,2025-08-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kolkata UH,https://indian.handicrafts.gov.in/en/events/view/NDU2,2025-06-15,23:45:00,2025-08-01,2025-08-07
"Gandhi Shilp Bazar National, States, District",GSB (State) at Vadodara,https://indian.handicrafts.gov.in/en/events/view/NTQ1,2025-06-10,23:45:00,2025-07-05,2025-07-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dimapur UH,https://indian.handicrafts.gov.in/en/events/view/NDIy,2025-06-01,23:45:00,2025-07-07,2025-07-13
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dimapur UH,https://indian.handicrafts.gov.in/en/events/view/NDIy,2025-06-01,23:45:00,2025-07-07,2025-07-13
"Gandhi Shilp Bazar National, States, District",GSB (District) at Indore UH,https://indian.handicrafts.gov.in/en/events/view/NDQz,2025-05-31,23:45:00,2025-07-01,2025-07-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Haridwar,https://indian.handicrafts.gov.in/en/events/view/NDQ0,2025-05-31,23:45:00,2025-07-01,2025-07-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Hubli,https://indian.handicrafts.gov.in/en/events/view/NDUz,2025-05-31,23:45:00,2025-07-17,2025-07-23
"Gandhi Shilp Bazar National, States, District",GSB (District) at Port Blair,https://indian.handicrafts.gov.in/en/events/view/NDQ1,2025-05-31,23:45:00,2025-07-17,2025-07-23
"Gandhi Shilp Bazar National, States, District",GSB (State) at Dehradun,https://indian.handicrafts.gov.in/en/events/view/NDMz,2025-05-31,23:45:00,2025-07-01,2025-07-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Aizwal,https://indian.handicrafts.gov.in/en/events/view/NDI1,2025-05-30,23:45:00,2025-07-01,2025-07-07
Dilli Haat,Dilli Haat - GI Crafts - Non Textiles based Crafts,https://indian.handicrafts.gov.in/en/events/view/NDU5,2025-05-11,23:45:00,2025-06-01,2025-06-15
Dilli Haat,DILLI HAAT - SC Artisans - Non Textiles Based Crafts,https://indian.handicrafts.gov.in/en/events/view/NDU3,2025-05-04,23:45:00,2025-05-16,2025-05-31
"Gandhi Shilp Bazar National, States, District",GSB (National) at Guwahati,https://indian.handicrafts.gov.in/en/events/view/NDIx,2025-05-04,23:45:00,2025-06-01,2025-06-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Hazaribagh UH,https://indian.handicrafts.gov.in/en/events/view/NDMy,2025-04-30,23:45:00,2025-05-14,2025-05-20
"Gandhi Shilp Bazar National, States, District",GSB (State) at Indore,https://indian.handicrafts.gov.in/en/events/view/NDMw,2025-04-27,23:45:00,2025-05-06,2025-05-15
Dilli Haat,Dilli Haat - Non textile-based Crafts from PAN India except Northern Region,https://indian.handicrafts.gov.in/en/events/view/NDIw,2025-04-14,23:45:00,2025-05-01,2025-05-15
Dilli Haat,Dilli Haat - Non textile-based Crafts from Northern Region,https://indian.handicrafts.gov.in/en/events/view/NDE5,2025-04-08,23:45:00,2025-04-16,2025-04-30
"Gandhi Shilp Bazar National, States, District",GSB(National)-Agartala,https://indian.handicrafts.gov.in/en/events/view/NDE4,2025-03-05,23:45:00,2025-03-15,2025-03-24
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar at JSS Mysore UH,https://indian.handicrafts.gov.in/en/events/view/NDE0,2025-02-27,23:45:00,2025-03-14,2025-03-23
"Gandhi Shilp Bazar National, States, District",GSB(National)-Lucknow,https://indian.handicrafts.gov.in/en/events/view/NDE1,2025-02-20,23:45:00,2025-03-01,2025-03-10
"Gandhi Shilp Bazar National, States, District",GSB(National) at Patna,https://indian.handicrafts.gov.in/en/events/view/NDE2,2025-02-20,23:45:00,2025-02-27,2025-03-08
"Gandhi Shilp Bazar National, States, District",GSB(District)-Srinagar UH,https://indian.handicrafts.gov.in/en/events/view/NDE3,2025-02-20,23:45:00,2025-03-07,2025-03-13
"Gandhi Shilp Bazar National, States, District",GSB(District)-Haridwar,https://indian.handicrafts.gov.in/en/events/view/Mzk0,2025-02-15,23:45:00,2025-03-17,2025-03-23
"Gandhi Shilp Bazar National, States, District",Gandhi shilp Bazaar at DHS Varanasi,https://indian.handicrafts.gov.in/en/events/view/NDEz,2025-02-15,23:45:00,2025-02-27,2025-03-08
"Gandhi Shilp Bazar National, States, District",GSB (District)-Varanasi UH,https://indian.handicrafts.gov.in/en/events/view/NDEx,2025-02-05,23:45:00,2025-03-03,2025-03-09
"Gandhi Shilp Bazar National, States, District",GSB(State)- Mysuru UH,https://indian.handicrafts.gov.in/en/events/view/NDEy,2025-02-02,23:45:00,2025-02-14,2025-02-23
"Gandhi Shilp Bazar National, States, District",GSB(District)-Varanasi UH,https://indian.handicrafts.gov.in/en/events/view/MzI5,2025-01-20,23:45:00,2025-02-23,2025-03-01
"Gandhi Shilp Bazar National, States, District",GSB(District)-Bhuj UH,https://indian.handicrafts.gov.in/en/events/view/Mzgx,2025-01-20,23:45:00,2025-02-21,2025-02-27
"Gandhi Shilp Bazar National, States, District",GSB(National)-Chennai,https://indian.handicrafts.gov.in/en/events/view/Mzc3,2025-01-15,23:45:00,2025-02-14,2025-02-23
"Gandhi Shilp Bazar National, States, District",GSB(State)-Vadodara,https://indian.handicrafts.gov.in/en/events/view/Mzgw,2025-01-15,23:45:00,2025-02-14,2025-02-23
"Gandhi Shilp Bazar National, States, District",GSB(State)-Kurukshetra,https://indian.handicrafts.gov.in/en/events/view/NDEw,2025-01-15,22:45:00,2025-01-31,2025-02-09
"Gandhi Shilp Bazar National, States, District",GSB(State)-Shillong,https://indian.handicrafts.gov.in/en/events/view/NDA0,2025-01-10,23:45:00,2025-02-11,2025-02-20
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar at Ujjain,https://indian.handicrafts.gov.in/en/events/view/NDA4,2025-01-10,23:45:00,2025-01-31,2025-02-09
"Gandhi Shilp Bazar National, States, District",Surajkund Craft Mela 2025,https://indian.handicrafts.gov.in/en/events/view/NDA5,2025-01-07,23:45:00,2025-02-07,2025-02-23
