Type of Event,Event Details,Link,Closing Date,Closing Time,Event Start Date,Event End Date
"Gandhi Shilp Bazar National, States, District",GSB(State)-Bokaro,https://indian.handicrafts.gov.in/en/events/view/MzI0,2024-10-20,23:45:00,2024-11-22,2024-12-01
"Gandhi Shilp Bazar National, States, District",GSB(District)-Gandhinagar,https://indian.handicrafts.gov.in/en/events/view/MzYy,2024-10-20,23:45:00,2024-11-21,2024-11-27
"Gandhi Shilp Bazar National, States, District","Toshali Craft Mela 2024 (GSB National), Bhubaneswar",https://indian.handicrafts.gov.in/en/events/view/Mzg2,2024-10-20,23:45:00,2024-12-01,2024-12-12
Dilli Haat,Dilli Haat,https://indian.handicrafts.gov.in/en/events/view/MjY1,2024-10-15,23:45:00,2024-11-16,2024-11-30
"Gandhi Shilp Bazar National, States, District",GSB(District)-Bhuvaneshwar UH,https://indian.handicrafts.gov.in/en/events/view/MzIz,2024-10-15,23:45:00,2024-11-15,2024-11-21
"Gandhi Shilp Bazar National, States, District",GSB(District)-Navi Mumbai UH,https://indian.handicrafts.gov.in/en/events/view/MzYx,2024-10-15,23:45:00,2024-11-15,2024-11-21
"Gandhi Shilp Bazar National, States, District",GSB(District)-Imphal UH,https://indian.handicrafts.gov.in/en/events/view/Mzcz,2024-10-15,23:45:00,2024-11-12,2024-11-18
"Gandhi Shilp Bazar National, States, District",GSB(District)-Durgapur UH,https://indian.handicrafts.gov.in/en/events/view/Mjk3,2024-10-10,23:45:00,2024-11-19,2024-11-25
"Gandhi Shilp Bazar National, States, District",GSB(State)-Nashik,https://indian.handicrafts.gov.in/en/events/view/MzUw,2024-10-10,23:45:00,2024-11-08,2024-11-17
"Gandhi Shilp Bazar National, States, District",GSB(District)-Bhopal UH,https://indian.handicrafts.gov.in/en/events/view/MzYw,2024-10-10,23:45:00,2024-11-11,2024-11-17
"Gandhi Shilp Bazar National, States, District",GSB- Bhopal (STATE),https://indian.handicrafts.gov.in/en/events/view/Mzg0,2024-10-06,16:15:00,2024-10-21,2024-10-30
