Type of Event,Event Details,Event Date,Apply Closing Date,Link,Closing Date for Apply,Closing Time for Apply,Event Start Date,Event End Date,location,latitude,longitude
"Gandhi Shilp Bazar National, States, District",GSB (State) at Chennai,01/08/2025 to 10/08/2025,2025-06-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDU4,2025-06-15,23:45:00,2025-08-01,2025-08-10,Chennai,13.0843007,80.2704622
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kolkata UH,01/08/2025 to 07/08/2025,2025-06-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDU2,2025-06-15,23:45:00,2025-08-01,2025-08-07,Kolkata UH,22.5743545,88.3628734
"Gandhi Shilp Bazar National, States, District",GSB (State) at Vadodara,05/07/2025 to 14/07/2025,2025-06-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NTQ1,2025-06-10,23:45:00,2025-07-05,2025-07-14,Vadodara,22.3000395,73.2064994
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dimapur UH,07/07/2025 to 13/07/2025,2025-06-01 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDIy,2025-06-01,23:45:00,2025-07-07,2025-07-13,Dimapur UH,25.9091406,93.72656049999999
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dimapur UH,07/07/2025 to 13/07/2025,2025-06-01 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDIy,2025-06-01,23:45:00,2025-07-07,2025-07-13,Dimapur UH,25.9091406,93.72656049999999
"Gandhi Shilp Bazar National, States, District",GSB (District) at Indore UH,01/07/2025 to 07/07/2025,2025-05-31 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDQz,2025-05-31,23:45:00,2025-07-01,2025-07-07,Indore UH,22.7195687,75.8577258
"Gandhi Shilp Bazar National, States, District",GSB (District) at Haridwar,01/07/2025 to 07/07/2025,2025-05-31 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDQ0,2025-05-31,23:45:00,2025-07-01,2025-07-07,Haridwar,29.9456906,78.16424780000001
"Gandhi Shilp Bazar National, States, District",GSB (District) at Hubli,17/07/2025 to 23/07/2025,2025-05-31 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDUz,2025-05-31,23:45:00,2025-07-17,2025-07-23,Hubli,15.3647083,75.1239547
"Gandhi Shilp Bazar National, States, District",GSB (District) at Port Blair,17/07/2025 to 23/07/2025,2025-05-31 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDQ1,2025-05-31,23:45:00,2025-07-17,2025-07-23,Port Blair,11.6233774,92.7264828
"Gandhi Shilp Bazar National, States, District",GSB (State) at Dehradun,01/07/2025 to 10/07/2025,2025-05-31 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDMz,2025-05-31,23:45:00,2025-07-01,2025-07-10,Dehradun,30.3164945,78.03219179999999
